inputName,k,size,arr[size]
values_99,2,25,"{-603743611899713292, -3455609569734697059, -4135491569234346027, -6819674647251707521, 960100907486676034, -4697327033703513753, -1930035826109973781, 6857551660325588786, 2752294705947172394, -9163243402945514057, -8484679324971195349, 1396526224956897492, 6906838625421458098, -819331625029704167, 2681909372209576921, 899837055849617900, -3925924260911338884, -7339661951550215617, 8257301320300910591, -733873863882049372, 6035023277270295528, -8901966281486625652, 47644760320137268, -5580897578204009253, 6606275591156412445"
values_60,2,16,"{4849567603273941135, 8009559003178695238, 6458337651151460910, 5327997695668076926, -8385916883523787711, 6425148120624659934, 2584552364374725988, -5356207543539720800, 3517486084013421879, 1295727135145557582, 3245983318794305666, -2157810983233794857, 4733711506986401782, -5828415547081809719, 3330661514186602285, 1327356228803853196"
values_34,2,2,"{-2884648885285930076, 7366795030685742166"
values_31,2,15,"{-818853408390055415, 3758381728095626774, 9088642472918176161, -6385615775541065865, 1322353683354219414, -4220589508071087826, -7876738609168745592, -3166160290561804296, 4460633227309609629, -6830693180287593772, 4344642315340294747, 2322986790475596805, -216464794329571912, 5918927615846598010, -1186905042969025912"
values_37,2,22,"{6781129105320156450, -308972981425794943, 5949379995374016475, 3681036076035872299, -4147824606441171724, -5679458447630531461, 3630996364325356439, -1113966906834954409, -9151340003675711870, -5246679395207051136, -3598628969039003286, 382612989749568810, 5383423566646044524, 1087266497983535969, -2781869549805620414, -8625171655323536999, 1458503332794104365, -782731097611655787, 1826336213602838397, -7941059212208595683, 4210628671320747404, -5250614133169510893"
values_76,2,20,"{-7311143124502193903, -777195437671378984, 8231770986363454570, 1701790271176642371, 1480969531449186973, 1087550905201947756, 6878558633220403809, 6692202100006173575, 8685202097932584890, 2915578363040672195, -952200668370428838, 524461310938420633, -1571656767690864155, 6992121828211631161, -1727069453722946927, -5834179723454206194, -583395516858999005, 3490164519732981070, -4723865764141593992, 1966638469808433647"
values_19,2,27,"{-3271672951021788844, 4539712627761460344, -1486356625819012417, -7567759106944715597, -6477638760849043705, -944007134645373508, 7257019738674075990, -1009039696828224728, -5196307448321728228, 9039372821286145652, 848467679202835200, 8346709147251327924, -8516302338237353135, 6906672943259664356, -266444842754675386, 5354011699643802246, 8813002268961791401, 5516877934287617079, -4632616933693632966, 6482424227560003575, 1587569052704385408, 5015832896739014843, -2174637194261709999, 3419582389752710336, -8480676858696802275, -2234526389586507330, 4640387001186059632"
values_45,2,20,"{4091958204049567443, 4857845629984108441, 8659951071531855055, -8206275910468228003, 5684734968890137726, -5477927126998520189, 455276680160937011, -2650054639411274125, -1221128039946285354, 8417882797392619556, 5175802094576214509, -268528820292616017, -8951153761255787580, 9146011132227277124, -4903412130109183017, 3294698030846224693, 2994282367325463239, -2876158781467927939, 3544192207740267002, -8553857472421932212"
values_68,2,13,"{6417761056209791546, 8811863247611596556, -2567123766780141197, 8367217884330572677, 7213272832158952914, -1110009424250488216, 3597098511559523360, 5744410662591855591, 5255272046184514625, 8599794315337662267, -4607721072790380717, -7223818033642208285, -6260134927758466972"
values_35,2,15,"{4799778563201590005, -7891931708268476510, 562809143242361103, 5298947820098391429, -3297922196294358074, 3929264602071851645, 1687727070312325334, -565650276288092193, 2242091588728855266, -5993741770408589114, 2310442206990676723, -6199204008307377033, 6019109522639002251, 4081879168239779617, -3161254806594943711"
values_80,2,21,"{-8839713299009593383, 3222513316364393660, -3388834410684703792, 7641230109240254286, 1411612312066191764, 3592353586918531849, 4456606463561090506, 9169055830187900395, -5670398114488791656, 4954484812721560888, -4777909480048112231, -3590650857144384108, 2124945841404494729, 7492139286796662926, 222662611396663099, 6083205964763424086, -8861000938142192331, -4655309757760394799, -7648483520428482345, -504333813841115715, 4383315285385603198"
values_77,2,7,"{6884052964776054169, -5147499475698937099, 5441107087416668029, 7448413086416865389, -6808459046424456729, -7915330622738553749, 4722487181552035227"
values_29,2,19,"{8935051654320649855, -1405742808145223495, 7108989263607766883, -7633217852567003210, 4959533281245525750, -68279906436687878, 4847909940820130203, -120159112705324615, 7246418670536549496, 5724847539355006988, -5040099231308712197, -6326466576806561099, 4561680346266885440, -116068418531402238, -7410570541502911853, 7532425071481518552, -8690753912707747075, 164531020738037214, 2602979654231573562"
values_55,2,25,"{571794429476238587, -1485372640904670886, -1515734546130438186, 2661690418717344907, -876057475490392903, -6408493804132780673, -3226104636223689378, -6266674985903885190, 5704951996968369384, -1720696771290061176, 8658938178254334505, 7910839747768928387, -3063275014669637457, 5537004459598557041, 6602329401505118121, 4391173148176676713, 1526130900062510719, -6174969846161529303, 4043027068489548147, 5142239729696239370, -8334419225181146867, -5024604321017413969, 7890394540116642948, -9000091619019656609, 2488298009599001331"
values_40,2,2,"{-1616640470158536737, 4225738261130254663"
